ítem_id;location;timestamp;price;promapplie
SM-F926BZSAARO;7260;20220901;-379999.00;                0
SM-F926BZKAARO;7260;20220901;-379999.00;                0
SM-A325MZBMARO;7970;20220901;68399.10;                1
SM-A032MZKAARO;7970;20220901;28349.10;                1
SM-A035MZBAARO;7970;20220901;33299.10;                1
SM-A035MZKFARO;7970;20220901;43199.10;                1
SM-A035MZKAARO;7970;20220901;33299.10;                1
SM-A135MZKKARO;7970;20220901;54899.10;                1
SM-A235MZKEARO;7570;20220901;72999.00;                0
SM-F936BZAMARO;7570;20220901;339999.05;                1
SM-A035MZKAARO;7570;20220901;36999.00;                0
SM-F721BLVKARO;7570;20220901;174999.08;                1
SM-F721BLVKARO;7570;20220901;130999.28;                1
SM-F721BLBKARO;7570;20220901;174999.08;                1
SM-F721BLVKARO;7570;20220901;125999.14;                1
SM-A135MLBEARO;7570;20220901;55999.00;                0
SM-F936BZKLARO;7570;20220901;233999.20;                1
SM-F721BLBKARO;7570;20220901;219999.00;                0
SM-F721BLBKARO;7570;20220901;125999.14;                1
SM-F721BLBKARO;7570;20220901;-219999.00;                0
SM-A226BZALARO;7980;20220901;69999.00;                0
SM-F721BLVKARO;7830;20220901;219999.00;                0
SM-F721BLVKARO;7830;20220901;172498.80;                1
SM-G781BZRLARO;7830;20220901;141999.00;                0
SM-F721BLBKARO;7830;20220901;219999.00;                0
SM-A536EZOAARO;7830;20220901;122999.00;                0
SM-A536EZOAARO;7830;20220901;122999.00;                0
SM-F721BLBKARO;7830;20220901;174999.08;                1
SM-F721BLVKARO;7830;20220901;219999.00;                0
SM-A135MZWEARO;10050;20220901;55999.00;                0
QT-S514_MROAARO;10050;20220901;13999.00;                0
SM-A135MZWEARO;7830;20220901;55999.00;                0
SM-A032MZKAARO;7950;20220901;31499.00;                0
SM-A135MZKEARO;7950;20220901;50399.10;                1
SM-A525MZKEARO;7950;20220901;86399.10;                1
SM-F721BLVKARO;7520;20220901;219999.00;                0
SM-A135MZWEARO;7520;20220901;55999.00;                0
SM-S908EZKMARO;7290;20220901;286998.86;                1
SM-A235MZKEARO;7310;20220901;72999.00;                0
SM-S908EDRVARO;7310;20220901;286998.86;                1
SM-F936BZELARO;7310;20220901;309999.00;                1
SM-F721BLVKARO;7310;20220901;130999.28;                1
SM-F721BLVKARO;7250;20220901;219999.00;                0
SM-F936BZAMARO;7250;20220901;339999.05;                1
SM-A135MLBEARO;7110;20220901;55999.00;                0
SM-F721BLVKARO;7110;20220901;130999.28;                1
SM-A235MLBEARO;7250;20220901;72999.00;                0
